Year,Month,Day,Hour,Minute,Timestamp,Demand
2020,1,1,0,0,2020-01-01 00:00:00,5790.549324149678
2020,1,1,0,30,2020-01-01 00:30:00,5682.662581012621
2020,1,1,1,0,2020-01-01 01:00:00,5570.367012260283
2020,1,1,1,30,2020-01-01 01:30:00,5481.469689337824
2020,1,1,2,0,2020-01-01 02:00:00,5397.344208502289
2020,1,1,2,30,2020-01-01 02:30:00,5342.640155770882
2020,1,1,3,0,2020-01-01 03:00:00,5302.104332767752
2020,1,1,3,30,2020-01-01 03:30:00,5258.478294414234
2020,1,1,4,0,2020-01-01 04:00:00,5247.875017179763
2020,1,1,4,30,2020-01-01 04:30:00,5233.398657149623
2020,1,1,5,0,2020-01-01 05:00:00,5202.910311220224
2020,1,1,5,30,2020-01-01 05:30:00,5195.40736658051
2020,1,1,6,0,2020-01-01 06:00:00,5165.4275556780385
2020,1,1,6,30,2020-01-01 06:30:00,5151.66623998578
2020,1,1,7,0,2020-01-01 07:00:00,5164.5338852133555
2020,1,1,7,30,2020-01-01 07:30:00,5190.1391776611645
2020,1,1,8,0,2020-01-01 08:00:00,5219.784385923119
2020,1,1,8,30,2020-01-01 08:30:00,5255.621454122098
2020,1,1,9,0,2020-01-01 09:00:00,5309.830933540545
2020,1,1,9,30,2020-01-01 09:30:00,5357.010359759442
2020,1,1,10,0,2020-01-01 10:00:00,5522.953889607617
2020,1,1,10,30,2020-01-01 10:30:00,5416.976894357338
2020,1,1,11,0,2020-01-01 11:00:00,5411.908257228302
2020,1,1,11,30,2020-01-01 11:30:00,5443.301987740092
2020,1,1,12,0,2020-01-01 12:00:00,5495.361326870086
2020,1,1,12,30,2020-01-01 12:30:00,5579.469893920877
2020,1,1,13,0,2020-01-01 13:00:00,5683.5086759170135
2020,1,1,13,30,2020-01-01 13:30:00,5775.502786672652
2020,1,1,14,0,2020-01-01 14:00:00,5896.272412586067
2020,1,1,14,30,2020-01-01 14:30:00,6076.456167350736
2020,1,1,15,0,2020-01-01 15:00:00,6256.398675100352
2020,1,1,15,30,2020-01-01 15:30:00,6465.422685391176
2020,1,1,16,0,2020-01-01 16:00:00,6642.3747391307
2020,1,1,16,30,2020-01-01 16:30:00,6799.274656842975
2020,1,1,17,0,2020-01-01 17:00:00,6943.714057953078
2020,1,1,17,30,2020-01-01 17:30:00,7013.637160183609
2020,1,1,18,0,2020-01-01 18:00:00,7020.3095995615195
2020,1,1,18,30,2020-01-01 18:30:00,7074.1860975221425
2020,1,1,19,0,2020-01-01 19:00:00,7128.000593377404
2020,1,1,19,30,2020-01-01 19:30:00,7085.30239623034
2020,1,1,20,0,2020-01-01 20:00:00,6951.846024521957
2020,1,1,20,30,2020-01-01 20:30:00,6737.868152376612
2020,1,1,21,0,2020-01-01 21:00:00,6584.104198369818
2020,1,1,21,30,2020-01-01 21:30:00,6421.943233490476
2020,1,1,22,0,2020-01-01 22:00:00,6271.44735781392
2020,1,1,22,30,2020-01-01 22:30:00,6153.861070582012
2020,1,1,23,0,2020-01-01 23:00:00,5959.857620468016
2020,1,1,23,30,2020-01-01 23:30:00,5754.859300225054
2020,1,2,0,0,2020-01-02 00:00:00,5615.1991444583855
2020,1,2,0,30,2020-01-02 00:30:00,5471.413867811092
2020,1,2,1,0,2020-01-02 01:00:00,5351.781826987776
2020,1,2,1,30,2020-01-02 01:30:00,5258.104327242678
2020,1,2,2,0,2020-01-02 02:00:00,5214.7672138953785
2020,1,2,2,30,2020-01-02 02:30:00,5177.398096279167
2020,1,2,3,0,2020-01-02 03:00:00,5172.786674027791
2020,1,2,3,30,2020-01-02 03:30:00,5164.421526730972
2020,1,2,4,0,2020-01-02 04:00:00,5177.80666906216
2020,1,2,4,30,2020-01-02 04:30:00,5204.270351768202
2020,1,2,5,0,2020-01-02 05:00:00,5262.48671394997
2020,1,2,5,30,2020-01-02 05:30:00,5337.516295614538
2020,1,2,6,0,2020-01-02 06:00:00,5449.944222406908
2020,1,2,6,30,2020-01-02 06:30:00,5552.204255597797
2020,1,2,7,0,2020-01-02 07:00:00,5658.970357721378
2020,1,2,7,30,2020-01-02 07:30:00,5690.0129270306315
2020,1,2,8,0,2020-01-02 08:00:00,5710.062272460542
2020,1,2,8,30,2020-01-02 08:30:00,5728.690803757972
2020,1,2,9,0,2020-01-02 09:00:00,5743.38986739876
2020,1,2,9,30,2020-01-02 09:30:00,5745.510154430078
2020,1,2,10,0,2020-01-02 10:00:00,5773.370238985722
2020,1,2,10,30,2020-01-02 10:30:00,5816.256723834578
